Job title,Salary,Job description,Requirements,URL,Company
Талбайн хэлтсийн менежер /Дунд шатны удирдлага/,"2,500,000-3,000,000 ₮","Харилцагч үйлчлүүлэгчдэд гаалийн бүрдүүлэлт дууссан ачааны олголт, хүргэлтийн үйлчилгээг мэргэжлийн түвшинд түргэн шуурхай үзүүлэх ажлыг удирдан зохион байгуулахГаалийн хяналтын бүс, ТЗ, Хорио цээр, өртөө, бусад байгууллагуудтай чиг үүргийн хүрээнд компанийг төлөөлөн хамтран ажиллахХариуцсан хэлтсийн өдөр тутмын үйл ажиллагааг удирдан зохион байгуулж чиглүүлэх, үйл ажиллагаанд хяналт тавьж, ажлын тайлан бэлтгэн шууд удирдлагад тайлагнах","Их дээд сургуулийг Гааль, Тээврийн удирдлага, Олон улсын худалдаа чиглэлээр бакалавр түүнээс дээш зэргээр төгссөнАнгли хэлний дунд болон түүнээс дээш түвшний мэдлэгтэйХэрэглээний программууд дээр ажиллах чадвартайХарилцааны болон зохион байгуулах чадвартай, нягт нямбай, хурдтай байхТээвэр, талбайн зохион байгуулалтын чиглэлээр ажиллаж байсан туршлагатай бол давуу тал болно.",https://www.zangia.mn/job/_g0zl2b66_4,Монложистикс Холдинг ХК
"Эвэнт координатор, бүтээмжийн менежер","2,500,000-3,000,000 ₮","Эвэнт гүйцэтгэлийн зохион байгуулахҮйлчилгээний чанарыг сайжруулах, стандартыг хангуулахТехникийн багийн ажлын төлөвлөлтийг гаргахЭвэнтийн талбайд удирдлагаар хангахЭвэнт гүйцэтгэлийн цагийн менежментыг удирдахАжлын 20хувь төлөвлөлт, ажлын даалгавар зэрэг файлтай ажиллах 80хувь эвэнтийн талбайд зохион байгуулалтын ажил гүйцэтгэхОрой шөнө ажиллах боломжтой ачаалал даах чадвартай","Төлөвлөх, файл боловсруулах чадварХарилцааны соёлУдирдан зохион байгуулахҮлгэрлэн манлайлахАнгли хэлний зохих мэдлэгтэй байх",https://www.zangia.mn/job/_t4g3a31x+c,Глобал ивэнт ХХК
MARKETING SPECIALIST,"3,000,000 - 4,000,000 ₮","Marketing specialist will be an essential part of the development and execution of marketing plans to reach targets from brand awareness to product promotion. Marketing specialist should be a leading professional able to grasp consumer behavior trends and generate creative ideas. Marketing specialist should also be well-versed in specialized marketing concepts, theories, principles and tactics.","Bachelor’s degree on Marketing, Advertising, Supply Chain, Management, Digital Marketing, and Public Relations. MBA preferred.Marketing, Sales, Supply Chain, Communication expertise would be advantage1-3 years of direct work experience in the field of marketing and working with international brandsHigh interpersonal and communication skillEffective oral and written skills in Mongolian and EnglishExtensive customer service knowledgeGood at processing documentationMust have proficient computer skillsAbility to interact and cooperate with all company employeesMaintain the confidentiality of all company information",https://www.zangia.mn/job/_hw54utt10z,Барловорлд Монголиа ХХК
"Ариутгал хариуцсан, Оффис менежер","2,100,000-2,500,000 ₮","Байгуулага айл өрхүүдйн захиалга авахҮйл ажиллагааг тасралтгүй явуулах, зохион байгуулах.Гэрээ хийх, сунгах гэрээтэй холбоотой асуудлаар уулзалт товлох / зааж сургана/Ариутгагч нарт хуваарь гаргаж холбогдох арга хэмжээг авах хянах тайлагнахБорлуулалтын мэдээ, тайланг цаг тухай бүрд гаргаж тайлагнах","Маркетинг менежментийн чиглэлээр их, дээд сургууль төгссөн.Баримт бичиг боловсруулах, гэрээ, хэлэлцээр хийх чадвартайХарилцааны ур чадвартай, ажлыг зохион байгуулан ажиллах чадвартайТогтвор суурьшилтай ажиллахХувийн зохион байгуулалт сайтай25-аас дээш насныАчаалал даах чадвартай",https://www.zangia.mn/job/_zkrqu++7ju,Баяндэмбэрэл ХХК
НЯРАВ,"2,100,000-2,500,000 ₮","Агуулахын өдөр тутмын үйл ажиллагааг мэргэжлийн хүрээнд зохион байгуулах,Барааны чанар байдлыг алдагдуулахгүйгээр хадгалах, бараа бүтээгдэхүүнтэй холбоотой асуудлыг холбогдох ажилтнуудтай хамтран шийдвэрлэх, бараа ачилтын процессыг хурдан шуурхай, зөв зохион байгуулах хяналт тавих,Орон нутагруу захиалгын барааг зарлагын баримтын дагуу бэлтгэх","Нягтлан бодох бүртгэл, санхүүгийн чиглэлээр их дээд сургууль төгссөн байхБараа бүтээгдэхүүний тайлан тооцоо цаг тухайд нь хурдан шуурхай гаргах чадвартайКомпьютерийн хэрэглээний програмууд дээр ажиллах чадвартайБие даан болон багаар ажиллах чадвартай",https://www.zangia.mn/job/_p-ph5nv2y3,Цахиур ХХК
Маркетингийн мэргэжилтэн,"3,000,000-3,500,000 ₮","Зорилтот зах зээлд чиглэсэн маркетингийн төлөвлөгөө боловсруулж, хэрэгжүүлэх, тайлан гаргахИдэвхжүүлэлт, контент сурталчилгааны үйл ажиллагааг хэрэгжүүлэхСошиал медиа хөгжүүлэх, хөтлөхДижитал маркетингийн кампанит ажил, төсөв, гүйцэтгэлийг оновчтой төлөвлөх, тайлагнахСалбарын чиг хандлага, хэрэглэгчийн зан төлөвт суурилсан дата шинжилгээ хийх","Маркетинг, бизнесийн удирдлагын чиглэлээр бакалавр болон түүнээс дээш зэрэгтэйМэргэжлээрээ 2-с дээш жил ажилласан туршлагатайБүтээлч, мэдрэмжтэй, хурдтай, багаар ажиллах чадвартай",https://www.zangia.mn/job/_9wy-2jwtf9,БИШРЭЛТ ГРУПП
ХАНГАМЖИЙН НЯРАВ,"2,500,000-3,000,000 ₮","Зах зээлийн үнийн судалгааг тогтмол хийж, компаний үр ашгийг нэмэгдүүлэхХамтрагч байгууллагуудтай гэрээ хийх, гэрээний дагуу бараа бүтээгдэхүүний хангалт, нийлүүлэлт, хүргэлт дээр биечлэн хяналт тавихБүтээгдэхүүний хадгалалтын горим, тээвэрлэлтийн стандартыг ханган зохицуулалтыг хийж, шинжилгээ баримт бичгийн бүрдлийг хангахУурхайн аж ахуй, сэлбэг, бараа материалын тасралтгүй байдлыг хангаж ажиллах","Нягтлан бодох бүртгэлийн чиглэлээр их дээд сургууль төгссөнЭнэ чиглэлээр 1-с дээш жил ажилласан ажлын туршлагатайБичиг баримт боловсруулах, оффисын программуудыг хэрэглээний түвшинд эзэмшсэн байхХарилцааны соёлтой, эерэг зөв хандлагатай, идэвхи санаачлагатай, багаар ажиллах чадвартайЦаашид тогтвор суурьшилтай ажиллахХот дотор жолоо барих /B ангилалтай/Эрэгтэй",https://www.zangia.mn/job/_b_-6ue18pc,ЮБИКСОЛЮШН ХХК
Аж ахуйн нярав,"2,500,000-3,000,000 ₮","Бараа материал, хүнс хүлээн авах, захиалга хийх, үйл явцыг удирдан зохион байгуулахСанхүүгийн программ дээр бараа материалын орлого, зарлагын гүйлгээг хийхСанхүүгийн анхан шатны баримтуудыг бүрдүүлэх, холбогдох тайлан тооцоог хийхАгуулахын эмх цэгцийг сахиулахБараа материалын тайланг сар бүр тайлагнахУурхайн захиргааны ажлыг хариуцан хийх","Санхүүгийн чиглэлээр их дээд сургууль төгссөн, эсвэл нярвын сургалтад хамрагдсан байхСанхүүгийн программ болон оффисын хэрэглээний программууд дээр ажиллах чадвартай байхБичиг баримт боловсруулах чадвартай байхМэргэжлээрээ уул уурхайн салбарт ажиллаж байсан бол давуу тал болноХөдөө орон нутагт ээлжээр ажиллахХариуцлагатай, багаар ажиллах чадвартайТогтвор суурьшилтай ажиллах, эерэг хандлагатай",https://www.zangia.mn/job/_0iybwplql6,ЮБИКСОЛЮШН ХХК
БАРИЛГЫН ИНЖЕНЕР,"2,500,000-3,000,000 ₮","“Миний дэлгүүр” ХХК-ндбарилгын инженерийн ажлын байранд урьж байна.Барилга байгууламжийн төлөв байдлыг үнэлэх, бат бөх чанарыг тооцоолох, зураг төсөл зохиох, норм дүрмийн шаардлагыг хангахБарилгын зураг төслийн дагуу угсарч барих ажлыг удирдан зохион байгуулах, инженерийн хяналт тавихБарилга угсралтын явц, төлөвлөгөөний биелэлт болон материал, бүтэц, эдлэхүүний чанар, хийцэд зураг, төсөв, барилгын норм, дүрэм стандарт, техникийн нөхцөлийн дагуу хяналт тавихБарилга угсралтын явцад үүссэн асуудлыг шуурхай шийдвэрлэх, гарсан доголдлын шалтгааныг судалж тодорхойлох, сэргийлэх арга хэмжээ авахБарилгын материал бүтээц, эдлэхүүнийг шаардлагатай тохиолдолд сайжруулах солих, хийцийн шийдэлд өөрчлөлт оруулахБарилга байгууламжийг барих явцад зохиогчийн хяналтыг хэрэгжүүлэхБарьж дуусгасан барилга байгууламжийг техникийн комисст хүлээлгэн өгөх, холбогдох бичиг баримтыг бэлтгэх","Барилгын инженерээр төгссөн, бакалавр зэрэгтэйӨсөн дэвших эрмэлзэлтэйТөсөв төлөвлөгөө гаргахИнтернэт орчинд ажиллах чадвартайКомпьютер программын мэдлэгтэйУдирдан зохион байгуулах чадвартай",https://www.zangia.mn/job/_d6pxe2mhme,Миний Дэлгүүр ХХК
ОФФИС МЕНЕЖЕР,"2,500,000-3,000,000 ₮","Оффис менежер нь байгууллагын өдөр тутмын үйл ажиллагааг зохион байгуулах.Оффисын орчинд эрүүл ахуй, аюулгүй байдлыг хангах.Архив, албан хэрэг хөтлөлтийн үйл ажиллагаанд хяналт тавих.Архивын цахим мэдээллийн сан хариуцан ажиллах.","Бизнесийн удирдлага, олон улсын харилцаа чиглэлээр төгссөн байхКомпьютерын хэрэглээний программыг бүрэн эзэмшсэнБаримт бичиг боловсруулах чадвартайЗохион байгуулах чадвартайХариуцсан ажил, өгсөн үүрэг даалгаварт тууштай хариуцлагатайТайлагнах ур чадвартайЗарчимч, шударга, харилцааны болон ёс суртахууны өндөр соёлтойАрхив, албан хэрэг хөтлөлт, цахим сангийн мэдлэг, туршлагатай бол давуу тал болно.",https://www.zangia.mn/job/_i+3+_szy2q,Миний Дэлгүүр ХХК
Тээврийн хэлтсийн менежер /Хятад хэлтэй/,"2,100,000-2,500,000 ₮","Хэлтсийн үйл ажиллагаанд хяналт тавих, өдөр тутмын асуудлыг шийдвэрлэх, тээвэр зохион байгуулах явцад хяналт тавих, тайлан гаргах, гүйцэтгэлийг дүгнэхАчаа тээврийг цаг хугацаанд нь эвдрэл гэмтэлгүй саадгүй тээвэрлэн хүргэх, үйлчлүүлэгчдэд тээвэр логистикийн үйлчилгээг чанартай, найдвартай, түргэн шуурхай үзүүлэх, сэтгэл ханамжийг нэмэгдүүлэх, үйлчлүүлэгчийг тогтоон барих, хүрээг өргөжүүлэх нөхцөлийг бүрдүүлэх","Гадаад харилцаа, олон улсын худалдаа, тээврийн чиглэлээр их дээд сургууль төгссөнКомпьютерийн хэрэглээний программууд дээр ажиллах чадвартайБагаар ажиллах чадвартайХятад хэлний дундаас дээш түвшний мэдлэгтэйБаг удирдаж байсан туршлагатай",https://www.zangia.mn/job/_e6k42undhi,Монложистикс Холдинг ХК
Хэрэглэгчийн үйлчилгээний ажилтан,"1,500,000-1,800,000 ₮ | Тохиролцоно","Хэрэглэгчдийн асуумж, санал хүсэлтийг хүлээн авч, шийдвэрлэхБүтээгдэхүүн, үйлчилгээний талаар мэдээлэл өгөхХэрэглэгчийн гомдол, асуудлыг шийдвэрлэхэд дэмжлэг үзүүлэхХэрэглэгчдийн сэтгэл ханамжийг судлах, үнэлгээ хийхХэрэглэгчидтэй ээлжит уулзалт, ярилцлага хийхБүтээгдэхүүн, үйлчилгээний үнэ, нөхцөл байдлыг тайлбарлахХэрэглэгчийн үйлчилгээний стандарт, журамд нийцүүлэхЭнтертэйнмент төвүүдэд үйлчилгээний стандартын дагуу чанартай үйлчилгээ үзүүлэхБүтээгдэхүүн үйлчилгээг борлуулах","Харилцагчийн үйлчилгээний талаар ойлголттойХарилцааны өндөр чадвартайБагаар ажиллах чадвартайАсуудал шийдвэрлэх чадвартайБүтээлч сэтгэлгээтэйАжлын цагийн хуваарийг дагах чадвартайБагаар ажиллах, хамтран ажиллах чадвартай",https://www.zangia.mn/job/_1xhnh4ih4x,Хүннү Молл
Сошиал менежер,"1,800,000 - 2,100,000 ₮","Үйлчлүүлэгчдийг шаардлагатай мэдээлэлээр хангаж бараа бүтээгдэхүүнээ танилцуулнаСошиал орчинд ажиллахМаркетингийн төлөвлөгөө, орлогын график гаргаж, биелэлтийг хангахМаркетингийн идэвхжүүлэлт хийхШинэ санал санаачлага гаргахБичлэгэнд орох чадвартай","25-40 насны эмэгтэйХарилцааны өндөр соёлтой, ятган үнэмшүүлэх, харилцах өндөр чадвартайТогтвор суурьшилтай ажиллахБагаар ажиллах чадвартайКомпьютерийн хэрэглээний программуудыг эзэмшсэнБүтээлч сэтгэлгээтэй, хариуцлагатай, тууштайӨсөж хөгжих хүсэл эрмэлзэлтэй, эерэгЯрианы баялагтайАвто машин болон сэлбэгийн мэдлэгтэй бол давуу талтайЗааж сургаад авч болноМаркетингийн чиглэлээр бакалавр зэрэгтэй болон шинэ төгсөгч байж болно",https://www.zangia.mn/job/_rih8sd0mb0,Батхүлэг автосервис
Хүний нөөцийн албаны менежер,"2,500,000 - 3,000,000 ₮","Гүйцэтгэх үндсэн үүрэг~ Компанийн өдөр тутмын захиргааны үйл ажиллагаа, тэдгээрийн системийн хэвийн, тасралтгүй ажиллагааг хангуулах, хяналт тавих;~ Компанийн стратеги төлөвлөгөөг уялдуулан хүний нөөцийн бодлогыг баримтлах, хэрэгжүүлэх, түүнд хяналт тавьж ажиллах;~ Захирлууд болон харъяалагдах хэлтсийн менежерүүдийн өдөр тутмын ажил үүрэгт дэмжлэг туслалцаа үзүүлэх;~ Компанийн хэмжээнд сургалт, олон нийтийн арга хэмжээ, идэвхжүүлэлтийг үйл ажиллагааг хариуцах, удирдан зохион байгуулах;~ Шинэ ажилтны дасан зохицох хөтөлбөрийг хэрэгжүүлэх ажиллах бүтээмжийг нэмэгдүүлэх;~ Ажилтнуудын сэтгэл ханамжийг нэмэгдүүлж, эерэг сэтгэлгээг бий болгох;","Ажлын байранд тавигдах шаардлага~ Бизнесийн удирдлага, Сэтгэлзүйч, Сэтгэл судлал, Хүний нөөцийн менежментээр бакалавр болон түүнээс дээш зэрэгтэй,~ Захиргааны үйл ажиллагаа, хүний нөөцийн менежерээр 5 болон түүнээс дээш жил ажилласан, үүнээс 2-с дээш жил баг удирдаж байсан туршлагатай~ Баримт бичгийн төлөвлөлт, боловсруулалт хийх чадвартай~ Бусдыг сургаж хөгжүүлэх, идэвхижүүлэх, багшлах ур чадвартай байх~ Алба, хэлтэс хоорондын уялдаа холбоо, харилцааг зохицуулах чадвартай~ Зарчимч зан чанартай, хариуцлагатай, эерэг зөв хандлагатай~ 28-45 насны",https://www.zangia.mn/job/_o1p1sw+pxz,Айсторг ХХК
Зам Гүүрийн Инженер,"4,000,000 - 5,000,000 ₮ | Тохиролцоно","Гүүр хоолойн байгууламжийн зураг төсөл боловсруулахГүүрийн дэд бүтцийн ажилд техникийн хяналт хийхГүүр хоолойн материалын сонголт, шалгалт хийхАжлын явцыг удирдах, төлөвлөх, тайлагнахГүүр хоолойн шинэ технологи, стандартуудыг судлах, нэвтрүүлэхХолбогдох дүрэм, журам, стандартын дагуу ажиллахТөслийн гүйцэтгэлийг үнэлэх, дүгнэлт гаргахГүүр хоолойн аюулгүй байдлыг хангах, эрсдлийг бууруулахТөсөлд оролцогч талуудтай харилцах, хамтран ажиллахГрафик төлөвлөгөө боловсруулах ажил гүйцэтгэх","Инженерийн бакалавр түүнээс дээш зэрэгтэй мэргэшсэн бол давуу талГүүр, хоолойн инженерийн чиглэлээр 5 ба түүнээс дээш жилийн туршлагатай байхЗураг төсөл боловсруулах программ хангамжийг эзэмшсэн байхТехникийн бичиг баримт боловсруулах чадвартай байхАжиллах чадвартай, багийн гишүүн байхБагаар ажиллах, харилцааны ур чадвартай байхАюулгүй ажиллагааны стандартуудыг мэддэг байхАнгли хэлний зохих түвшний мэдлэгтэй байхШинэ технологи, чиг хандлагуудыг суралцах сонирхолтой байх",https://www.zangia.mn/job/_1y+72_1j+6,Очирням ХХК
