Job title,Salary,Job description,Requirements,URL,Company
Англи хэлний багш /Саппоро салбар/,"2,100,000-2,500,000 ₮","Хуваарийн дагуу хичээл орохСуралцагчдын тайлан бичихСургалтын хөтөлбөр шинэчлэх, сайжруулахШинэ хөтөлбөр багаар боловсруулах","Англи хэлний чиглэлээр их дээд сургууль төгссөн эсвэл ОУ-ын шалгалтын оноотой бол давуу тал болноГадаад, Монгол баг хамт олноор ажиллах чадвартайХичээлийг үр өгөөжтэй болгох тал дээр шинэ санаа санаачлагатай",https://www.zangia.mn/job/_hp-rlx-unt,Күнз дунд сургууль
ГРАФИК ДИЗАЙНЕР /АПЕКС КАПИТАЛ ҮЦК/,"2,500,000 - 3,000,000 ₮ | Тохиролцоно","Компанийн маркетингийн идэвхжүүлэлт, брэндингийн хүрээнд хийгдэх, сошиал контент болон бусад дизайнтай холбоотой ажлуудыг бүтээлчээр хийж гүйцэтгэх;Компанийн маркетинг, брэнд хөгжүүлэлттэй холбоотой дизайны ажлуудыг хэрэглэгчид үр дүнтэй байдлаар хүргэх, сүүлийн үеийн маркетинг дизайны талаар судалж, компанид нийцүүлэн хэрэгжүүлэх, сайжруулалт хийх санал санаачилгыг гарган ажиллах;Компанийн шинэ бүтээгдэхүүн, үйлчилгээ гаргах, идэвхжүүлэх, арга хэмжээ зохион байгуулах болон бусад компанит ажилтай холбоотой сошиал дээрх контент болон хэвлэмэл материалын /брошюр, катологи, тараах материал, анонс/ эх бэлтгэл, дизайныг бүтээх, санаачлах;","Мэргэжлийн ур чадварГрафик дизайны чиглэлээр төгссөнPs, AI, Figma зэрэг мэргэжлийн программууд дээр мэргэжлийн түвшинд ажилладагҮсгийн фонт, бичвэрийн хэрэглээний талаар мэдлэгтэйГрафик дизайнерын чиглэлээр ажилласан туршлагатайЗөөлөн ур чадварБүтээлч сэтгэлгээтэй, шинийг санаачилдагДизайн, өнгө төрх бүтээх уран сэтгэмжтэйӨөрийн санааг ойлгуулах харилцааны ур чадвартайЦэгцтэйЛогик сэтгэлгээтэйСуралцах чадвар өндөрЗан төлөв, хандлагаЭерэг хандлагатайӨсөн дэвших сэтгэлгээтэйЁс зүйтэйӨөдрөг",https://www.zangia.mn/job/_3lbk2u30sv,Апекс капитал ҮЦК ХХК
ГРАФИК ДИЗАЙНЕР,"3,000,000 - 4,000,000 ₮ | Тохиролцоно","Урамшуулал, идэвхжүүлэлтийн хэвлэмэл сурталчилгааны загвар дизайн гаргах ажлуудыг хариуцан ажиллах;Бүтээлч дизайны ажил гүйцэтгэхШинээр гаргах бүтээгдэхүүн үйлчилгээ болон урамшууллын лого, бичиглэл, дизайн гаргахШинэ талент, шилдэг контентын талаар судлахАрга хэмжээ болон бусад үйл ажиллагааны декор зураг гаргах","График дизайн, хэвлэлийн эх бэлтгэл, компьютер график, дүрслэх урлаг болон дизайны чиглэлээр мэргэшсэн бакалавр зэрэгтэйДизайны болон мэргэжлийн програмуудыг ахисан түвшинд эзэмшсэн байх, Бүтээлч сэтгэлгээтэй, багаар хамтран ажиллах чадвартай, шинэлэг санаа гаргах танилцуулах ур чадвартай байхАнгли хэлний ярианы болон бичгийн pre intermediate түвшний мэдлэгтэй байх, Мэргэжлийн ном сэтгүүл уншиж ажилдаа ашиглах чадвартай байх,Мэргэжлээрээ 2-с дээш жил ажилласан бол давуу тал болно.",https://www.zangia.mn/job/_bitq1a70jm,"""БИ ТҮ БИ НОМАДИК"" ХХК"
Тооцооны нягтлан бодогч,"2,500,000-3,000,000 ₮","Нягтлан бодох бүртгэлийн анхан шатны баримтад үндэслэн борлуулалтын болон бусад гүйлгээ,  зардал бүртгэхБараа материал бүртгэх, хяналт тавих.Санхүү бүртгэлийн албанд хамаарах бусад ажил гүйлгээг хийх,","Нягтлан бодох бүртгэлийн бакалавр болон түүнээс дээш зэрэгтэй төгссөнНягтлан бодогчоор 2-с дээш жил ажилласан туршлагатайНягт нямбай, хурдтайХУД, 11-р хороо Зайсанд байрлах оффист ирж ажиллах боломжтой байх.Хол Гэртэй бол анкет явуулах хэрэггүйЯг ажил хайж байгаа бол анкетаа явуулна уу ! Утас нь нээлттэй байхАжлын дугаар барих боломжтой байх",https://www.zangia.mn/job/_50r+x9dey2,Киндервелт Монголиа ХХК
"Нягтлан, Тооцооны нягтлан бодогч ажилд авна.","2,100,000-2,500,000 ₮","- Компанийн нягтлан бодох бүртгэлийн өдөр тутмын үйл ажиллагааг зохион байгуулах-Удирдлагыг санхүүгийн мэдээллээр тогтмол хангах-Татвар, НДШ тайлан гаргаж , тайлагнах-Харилцагчидтай тооцоо нийлж баталгаажуулах","Тайлан бланс гаргах чадвартайСанхүүгийн программууд дээр ажиллах чадвартайНягтлан бодох мэргэжлээр бакалавр болон түүнээс дээш зэрэгтэй,Мэргэжлээрээ ажиллаж байсан туршлагатай.Хариуцлагатай,Нямбай, хурдтай, шаардлага тавих чадвартайТогтвор суурьшилтай ажиллах.",https://www.zangia.mn/job/_z6jmfqk-fp,Баяндэмбэрэл ХХК
Бүтээгдэхүүн үйлчилгээний ажилтан,"2,100,000-2,500,000 ₮","Харилцагчийн холбогдох бичиг баримтыг бүрдүүлэлт хийх, зээлийн үйлчилгээг санал болгохЗээлийн гэрээ бэлтгэх, сайжруулалт хийхӨдөр тутмын тайлан мэдээг гаргах, тайлагнах","Их дээд сургууль төгссөнХэрэглээний программууд дээр ажиллах чадвартайӨөрийн ажилдаа хариуцлагатай ханддаг байхХувийн зохион байгуулалт сайтай, багаар ажиллах чадвартайЦаашид урт хугацаанд ажиллах хүсэлтэй байх",https://www.zangia.mn/job/_thtcflj6-u,Сайн Моторс ХХК
Бүтээгдэхүүн үйлчилгээний ажилтан (Дархан салбар),"1,800,000-2,100,000 ₮","Харилцагчийн зээлийн үйлчилгээтэй холбогдох бичиг баримтын бүрдүүлэлт хийх, тохирох бараа бүтээгдэхүүнийг санал болгохЗээлийн гэрээ бэлтгэх, сайжруулалт хийхӨдөр тутмын тайлан мэдээг гаргах, тайлагнах","Хэрэглээний программууд дээр ажиллах чадвартайБорлуулалтын чиглэлээр ажиллаж байсан туршлагатай бол сайнӨөрийн ажилдаа хариуцлагатай ханддаг байхХувийн зохион байгуулалт сайтай, багаар ажиллах чадвартайЦаашид урт хугацаанд ажиллах хүсэлтэй байх",https://www.zangia.mn/job/_g2pa+bnr2z,Сайн Моторс ХХК
"Худалдан авалт хариуцсан менежер / эмч, эм зүйч/","2,100,000 - 2,500,000 ₮","Эм ханган нийлүүлэлт, хадгалалт, тээвэрлэлтийн үйл ажиллагааг зохион байгуулахЭм, эмнэлгийн хэрэгслийн захиалга, хүлээлгэн өгөх, хүлээн авах үйл явцыг хянахЭм ханган нийлүүлэгчидтэй харилцах, гэрээ, нөхцлүүдийг хэлэлцэхЭм, эмнэлгийн хэрэгслийн нөөцийн удирдлагыг хийхЭм зүйчийн мэргэжлийн мэдлэгийг ашиглан бүтээгдэхүүний чанар, аюулгүй байдлыг хангахЭм ханган нийлүүлэлттэй холбоотой бичиг баримт, тайланг бэлтгэхАжлын байрны стандарт, журмыг мөрдөх, шинэ журам боловсруулахад оролцохБагийн гишүүдтэй хамтран ажиллах, сургалт явуулах","Эм зүйчийн мэргэжилтэй байхХангамжийн менежментийн чиглэлээр 2-3 жилийн туршлагаЭм, эмнэлгийн хэрэгслийн зах зээл, ханган нийлүүлэлтийн талаар мэдлэгтэй байхМэдээлэл боловсруулах, анализ хийх чадвартай байхХарилцааны өндөр ур чадвар, багаар ажиллах чадвартай байхКомпьютер, MS Office программтай ажиллах чадвартай байхАжлын тайлан, бичиг баримт боловсруулах чадвартай байх",https://www.zangia.mn/job/_h1t5foah94,СИТИФАРМ МЭИК
НЯГТЛАН БОДОГЧ / ГАДААД ХУДАЛДАА /,"2,100,000-2,500,000 ₮","Компанийн болон Нягтлан бодох бүртгэлийн тухай хууль% НББОУС-н бусад  холбогдох хууль, дүрэм журмыг баримтлан ажилланаСанхүү, татварын тайланг үнэн зөв, цаг хугацаанд тайлагнахУдирдлагуудад дотоод мэдээ тайланг тайлагнахКомпанийн санхүүгийн үйл ажиллагаанд бүртгэлийн хяналт тавихХарилцагч нарын авлага, өглөгийг барагдуулах, бараа материалын тооллого тооцоо хийх,Ажлын байрны тодорхойлолтонд заасан ажил үүргийг гүйцэтгэнэ","Санхүү, нягтлан бодох бүртгэлээр баклавр болон түүнээс дээш зэрэгтэй.Санхүүгийн Diamond программыг дундаас дээш түвшинд бүрэн эзэмшсэнКопьютерийн хэрэглээний программ дээр ажиллах чадвартайМэргэжлээрээ 3-аас доошгүй жил ажилласан.Бие даан болон багаар ажиллах чадвартай.Оновчтой шийдвэр гаргах чадвартай.Мэргэжлийн ёс зүйг чанд сахих чадвартай.Тогтвор суурьшилтай ажиллах эрмэлзэлтэй.",https://www.zangia.mn/job/_441qywvgt9,Жигүүр Гранд Групп
Салбар хариуцсан менежер,"2,500,000 - 3,000,000 ₮","Салбарыг удирдан, хөгжүүлэхБорлуулалтын стратеги, төлөвлөгөөг боловсруулахБорлуулалтын багийн гишүүдийг удирдах, сургахБорлуулалтын үзүүлэлтийг хянах, дүн шинжилгээ хийхСалбарын үйл ажиллагааг идэвхжүүлэх, оновчтой болгох","Бакалаврын зэрэгтэй байхСалбарын чиглэлээр ажиллаж байсан туршлагаБагийн удирдлагын чадвартай байхСудалгаа, шинжилгээ хийх чадвартайБорлуулалтын стратеги боловсруулах, хэрэгжүүлэх чадвартайХарилцааны өндөр ур чадвартай",https://www.zangia.mn/job/_i4okn93atl,СИТИФАРМ МЭИК
Катеринг үйлчилгээ хариуцсан менежер,"3,000,000 - 4,000,000 ₮","Үйлчлүүлэгчийн эрэлт хэрэгцээ, зах зээлийн шаардлагад нийцүүлэн үйлдвэрлэл, үйлчилгээг сайжруулах санал гаргах, хэрэгжүүлэхҮйлдвэрлэл, үйлчилгээний хөдөлмөрийн нөхцөл, аюулгүй ажиллагаанд байнгын хяналт тавих, сайжруулахХоол үйлдвэрлэл, үйлчилгээний цикл, процессын хяналтыг тогтмол хийхБизнес төлөвлөгөөг хэрэгжүүлэх, ашигт ажиллагааг нэмэгдүүлэх санаачлага гарган ажиллахКатерингийн үйл ажиллагааг МУ-ын хууль, Кетерингийн үйл ажиллагаанд тавигдах шаардлагын дагуу зохистой удирдах, чиглүүлэх, хяналт тавих","- Бизнесийн удирдлага, Хүнсний үйлдвэрлэл , Худалдан авалтын чиглэлээр бакалавр болон түүнээс дээш зэрэгтэй- Мэргэжлээрээ 3-аас доошгүй жил ажилласанУдирдан зохион байгуулахАсуудлыг шийдвэрлэхБагаар ажиллахЁс зүйтэй, харилцааны соёлтойӨөрчлөлтийг эерэгээр хүлээн авах, нийцэхЭерэг, өөдрөг үзэл баримтлалтай",https://www.zangia.mn/job/_g79yani_c5,ДАЗЛ ХХК
Бүтээгдэхүүн үйлчилгээний ажилтан (Дархан салбар),"1,500,000-1,800,000 ₮","Харилцагчийн зээлийн үйлчилгээтэй холбогдох бичиг баримтын бүрдүүлэлт хийх, тохирох бараа бүтээгдэхүүнийг санал болгохЗээлийн гэрээ бэлтгэх, сайжруулалт хийхӨдөр тутмын тайлан мэдээг гаргах, тайлагнах","Хэрэглээний программууд дээр ажиллах чадвартайБорлуулалтын чиглэлээр ажиллаж байсан туршлагатай бол сайнӨөрийн ажилдаа хариуцлагатай ханддаг байхХувийн зохион байгуулалт сайтай, багаар ажиллах чадвартайЦаашид урт хугацаанд ажиллах хүсэлтэй байх",https://www.zangia.mn/job/_f181i+2qov,Сайн Интернэшнл ХХК
Бүтээгдэхүүн үйлчилгээний ажилтан (Цогтцэций салба,"1,500,000-1,800,000 ₮","Харилцагчийн зээлийн үйлчилгээтэй холбогдох бичиг баримтын бүрдүүлэлт хийх, тохирох бараа бүтээгдэхүүнийг санал болгохЗээлийн гэрээ бэлтгэх, сайжруулалт хийхӨдөр тутмын тайлан мэдээг гаргах, тайлагнах","Хэрэглээний программууд дээр ажиллах чадвартайБорлуулалтын чиглэлээр ажиллаж байсан туршлагатай бол сайнӨөрийн ажилдаа хариуцлагатай ханддаг байхХувийн зохион байгуулалт сайтай, багаар ажиллах чадвартайЦаашид урт хугацаанд ажиллах хүсэлтэй байх",https://www.zangia.mn/job/_vim+l0zkpb,Сайн Интернэшнл ХХК
Агуулахын НЯРАВ,"2,500,000-3,000,000 ₮","Агуулахын өдөр тутмын жигд ажиллагааг хангаж ажиллахБараа бүтээгдэхүүн хүлээн авах, хадгалах, бүрэн бүтэн байдлыг хариуцах, түгээлтэд гаргахТайлан гаргах","Нягтлан бодох бүртгэл, эдийн засаг, санхүү чиглэлээр их, дээд сургууль төгссөн,Компьютерийн хэрэглээний программ дээр ажиллах чадвартай,Баг удирдан ажиллах чадвартай, хариуцлагатай,Агуулахад хүйтэн сэрүүн нөхцөлд ажиллах боломжтойШинэ төгсөгч байж болно.Ээлжээр ажиллах боломжтой байх",https://www.zangia.mn/job/_tayqblp5n9,М-Си-Эс Кока-Кола ХХК
Агааржуулалтын тоноглолын инженер,"3,000,000 - 4,000,000 ₮","Үйлдвэр ба агуулахын барилгууд, үйлдвэрлэлийн тоног төхөөрөмжийн агаар сэлгэлт ба агааржуулалтын тоноглолын найдвартай, тогтмол, жигд ажиллагааг хангуулахаар өөрийн ажлыг зохион байгуулах","Агаар сэлгэлт ба агааржуулалтын чиглэлээр бакалавр ба түүнээс дээш мэргэжлийн зэрэгтэй байхБагаар ажиллах чадвартайАсуудал шийдвэрлэх, шийдэл олох чадвартай",https://www.zangia.mn/job/_j-s5xay8nk,М-Си-Эс Кока-Кола ХХК
Ахлах менежер,"2,100,000 - 2,500,000 ₮","Баазын Ерөнхий менежерийн удирдлага дор:Өдөр тутмын үйл ажиллагааг чиглүүлэн зохион байгуулах, хяналт тавихАлба хоорондын уялдааг хангах, дэмжлэг үзүүлэхШаардлагатай орон тоо, хүний нөөц төлөвлөх, бэлтгэх, ажлын байрны сургалт хийх, чиглүүлэхЗочдын санал хүсэлтийг сонсох, туслах, шийдвэрлэх чадвартайҮйлчилгээний соёл, стандарт хэвшүүлэх, өрөөний бэлэн байдлыг хангаж ажиллахЗочдын эд хэрэгслийн олдсон болон алдсан тухай бүртгэл хийх, холбогдох арга хэмжээ авах","Өөрийн эзэмшсэн хэлний ярианы болон бичгийн ахисан түвшний чадвартайЗочлох үйлчилгээний салбарт ажиллаж байсан туршлагатай бол давуу тал болноМэргэжлийн хандлагатай, ажлын ачааллаа хуваарилах чадвартайТууштай ажиллах",https://www.zangia.mn/job/_d3m3_86mby,Говь Каравансерай Лодж ХХК
FILA брэндийн маркетинг менежер,"2,500,000-3,000,000 ₮","Гүйцэтгэх үндсэн үүрэг- Худалдааны салбарт залуучуудын чөлөөт хувцасны брэндийн маркетингийн үйл ажиллагааг    хэрэгжүүлэх- Олон улсын төв ""FILA оффис""-ын багтай шууд харилцан маркетинг үйл ажиллагааг зохион байгуулж гүйцэтгэх.","Тавигдах шаардлага:- Бизнесийн удирдлага, маркетинг, гадаад худалдааны чиглэлээр их, дээд сургууль төгссөн/Гадаадад их дээд сургууль төгссөн бол давуу тал болно./- Бүтээлч сэтгэлгээтэй- Дижитал маркетинг сувгуудыг ашиглах чадвартай- Орчин үеийн залуучуудын соёл, хөгжим, урлаг, загварын чиг хандлагын талаар мэдлэгтэй- Харилцааны өндөр чадвартай, багийн ажиллагааг эрхэмлэж ажилладаг- Нөхцөл байдалд анализ хийж зөв шийдвэр гаргах, дүн шинжилгээ хийх- Англи хэлний бичгийн болон ярианы өндөр чадвартай /Солонгос хэлтэй бол давуу тал/",https://www.zangia.mn/job/_kw1x0l8i8l,БльюМон Групп
БҮТЭЭГДЭХҮҮН ХӨГЖҮҮЛЭЛТИЙН МЕНЕЖЕР / MENU Хөгжүүлэ,"2,100,000-2,500,000 ₮ | Тохиролцоно","Бүтээгдэхүүний менежментийг хэрэгжүүлэх, шинэ бүтээгдэхүүн хөгжүүлэхМенюны бүтэц, зохион байгуулалтыг хийхЗах зээлд байгаа шинэ чиг хандлага, хэрэглэгчдийн хэрэгцээг судлахБүтээгдэхүүний амт, дизайны талаар санал, шүүмжлэл авахАжлын байрны тодорхойлолтонд заагдсан бусад чиг үүргээр ажиллана;","Хүнсний технологи, Бизнесс удирдлага чиглэлээр их дээд сургууль төгссөн;Бүтээгдэхүүний орц найрлага, хүнсний технологийн мэдлэгтэй;Судалгаа хийх, анализ хийх чадвартайБүтээгдэхүүн хөгжүүлэлт, технологич эсвэл төслийн удирдлагын чиглэлээр 1-с дээш жид ажиллаж байсан;Багийн ажилд хамтран ажиллах, удирдах чадвартайХарилцааны өндөр ур чадвартайШинийг санаачлах, инновацийн шийдэл гаргах чадвартайАнгли хэл эсвэл Солонгос хэлний мэдлэгтэй бол давуу тал болно;",https://www.zangia.mn/job/_wg1xsibs-4,Каппэ Бэнэ Монголиа ХХК
Барилгын инженер,"3,000,000 - 4,000,000 ₮ | Тохиролцоно","1. Барилга угсралтын ажлын өдөр тутмын ажлыг удирдан зохион байгуулж, биелэлтийг хангуулах2. Ажлын болон бараа материалын тоо хэмжээг тооцож гаргах, гүйцэтгэлийг хянах3. Шаардлагатай бол багаараа инженерингийн шийдэл гаргахад оролцох, санал дэвшүүлэх","1. Өргөн хэрэглээний (MS Office, Powerpoint гм) болон мэргэжлийн (AutoCAD, Revit гм) аль нэг программуудтай ажиллах чадвартай байх2. Аливаа ажлыг сэтгэлээсээ, тууштай хийж дуусгах зөв хандлагатай байх3. Төслийн оролцогч талууд болох захиалагчийн болоод туслан гүйцэтгэгчдийн ажилтан, ажилчидтай зөв, ажил хэрэгч, үр бүтээлтэй харилцаа үүсгэж чаддаг байх4. Багаар ажиллах",https://www.zangia.mn/job/_dmqml1igqh,НОРКОНС
Туслах техникч,"2,100,000-2,500,000 ₮",Ажлын байрны тодорхойлолтод заасан ажил үүрэгХүнд даацын автомашины засвар үйлчилгээний бүхий л ажилд туслах чиг үүрэгтэйгээр оролцох,Механик инженер мэргэжлээр Их дээд сургууль болон МСҮТ төгссөн байхАчаалал даах болон багаар ажиллах чадвартай байхХөдөө орон нутагт ростероор ажиллах боломжтойЦаашид өсөн дэвших хүсэл эрмэлзлэлтэй байх,https://www.zangia.mn/job/_y6kl6i6tyn,Говь Экуйпмент Рентал Флийт ХХК
Нярав (Говьсүмбэр салбар),"1,500,000-1,800,000 ₮","Бараа материалыг нэр төрлөөр нь төрөлжүүлэн хураан ангилах, хаяглах;Бараа материалын үлдэгдлийн болон зарцуулалтын  тайлан гаргах;Харилцагчид барааг хүлээлгэн өгөх, заавар зөвлөгөө өгөх;Бараа материалын бүрэн бүтэн болон аюулгүй байдлыг хариуцан ажиллана;","Нярав, бүртгэл тооцооны чиглэлээр ажиллаж байсан туршлагатайОффисын хэрэглээнийпрограммдээр ажиллах чадвартайЭмх цэгцтэй, нягт нямбайХариуцлага хүлээх чадвартай байх",https://www.zangia.mn/job/_6fjaa_4op5,Сайн Интернэшнл ХХК
Борлуулалт үйлчилгээний ажилтан (Говьсүмбэр салбар,"1,500,000-1,800,000 ₮","Харилцагчийн зээлийн үйлчилгээтэй холбогдох бичиг баримтын бүрдүүлэлт хийх, тохирох бараа бүтээгдэхүүнийг санал болгохЗээлийн гэрээ бэлтгэх, сайжруулалт хийхӨдөр тутмын тайлан мэдээг гаргах, тайлагнах","Хэрэглээний программууд дээр ажиллах чадвартайБорлуулалтын чиглэлээр ажиллаж байсан туршлагатай бол сайнӨөрийн ажилдаа хариуцлагатай ханддаг байхХувийн зохион байгуулалт сайтай, багаар ажиллах чадвартайЦаашид урт хугацаанд ажиллах хүсэлтэй байх",https://www.zangia.mn/job/_b1fhvnskcd,Сайн Интернэшнл ХХК
Салбарын ахлах менежер (Говьсүмбэр салбар),"1,800,000-2,100,000 ₮","Харилцагчийн зээлийн үйлчилгээтэй холбогдох бичиг баримтын бүрдүүлэлт хийх, тохирох бараа бүтээгдэхүүнийг санал болгохЗээлийн гэрээ бэлтгэх, сайжруулалт хийхХариуцсан салбар нэгжийн үйл ажиллагааг хэвийн явуулахад хяналт тавин ажиллана","Банк, санхүү, эдийн засаг, нягтлан бодох бүртгэлийн чиглэлээр их дээд сургууль төгссөнЗээл, борлуулалтын талаар мэдлэгтэйЦаашид урт хугацаанд ажиллах хүсэлтэй байх",https://www.zangia.mn/job/_yusshhe0e9,Сайн Интернэшнл ХХК
Салбарын ахлах менежер (Дундговь салбар),"2,500,000-3,000,000 ₮","Харилцагчийн зээлийн үйлчилгээтэй холбогдох бичиг баримтын бүрдүүлэлт хийх, тохирох бараа бүтээгдэхүүнийг санал болгохЗээлийн гэрээ бэлтгэх, сайжруулалт хийхХариуцсан салбар нэгжийн үйл ажиллагааг хэвийн явуулахад хяналт тавин ажиллана.","Банк, санхүү, эдийн засаг, нягтлан бодох бүртгэлийн чиглэлээр их дээд сургууль төгссөнЗээл, борлуулалтын талаар мэдлэгтэйЦаашид урт хугацаанд ажиллах хүсэлтэй байх28-35 насны эмэгтэй байх",https://www.zangia.mn/job/_066r60gh4v,Сайн Интернэшнл ХХК
Салбарын ахлах менежер (Завхан салбар),"2,500,000-3,000,000 ₮","Харилцагчийн зээлийн үйлчилгээтэй холбогдох бичиг баримтын бүрдүүлэлт хийх, тохирох бараа бүтээгдэхүүнийг санал болгохЗээлийн гэрээ бэлтгэх, сайжруулалт хийхХариуцсан салбар нэгжийн үйл ажиллагааг хэвийн явуулахад хяналт тавин ажиллана.","Банк, санхүү, эдийн засаг, нягтлан бодох бүртгэлийн чиглэлээр их дээд сургууль төгссөнЗээл, борлуулалтын талаар мэдлэгтэйЦаашид урт хугацаанд ажиллах хүсэлтэй байх28-35 насны эмэгтэй байх",https://www.zangia.mn/job/_tpdtrptrdl,Сайн Интернэшнл ХХК
Нярав (Завхан салбар),"1,500,000-1,800,000 ₮","Бараа материалыг нэр төрлөөр нь төрөлжүүлэн хураан ангилах, хаяглах;Бараа материалын үлдэгдлийн болон зарцуулалтын  тайлан гаргах;Харилцагчид барааг хүлээлгэн өгөх, заавар зөвлөгөө өгөх;Бараа материалын бүрэн бүтэн болон аюулгүй байдлыг хариуцан ажиллана;","Нярав, бүртгэл тооцооны чиглэлээр ажиллаж байсан туршлагатайОффисын хэрэглээнийпрограммдээр ажиллах чадвартайЭмх цэгцтэй, нягт нямбайХариуцлага хүлээх чадвартай байх",https://www.zangia.mn/job/_s+v2vbrv1b,Сайн Интернэшнл ХХК
Харилцагчийн үйлчилгээний ажилтан (Эмэгтэй),"2,100,000-2,500,000 ₮","Харилцагчийн холбогдох бичиг баримтыг бүрдүүлэлт хийх, зээлийн үйлчилгээг санал болгохЗээлийн гэрээ бэлтгэх, сайжруулалт хийхӨдөр тутмын тайлан мэдээг гаргах, тайлагнах","Хэрэглээний программууд дээр ажиллах чадвартайӨөрийн ажилдаа хариуцлагатай ханддаг байхХувийн зохион байгуулалт сайтай, багаар ажиллах чадвартайЦаашид урт хугацаанд ажиллах хүсэлтэй байх",https://www.zangia.mn/job/_xy7zrvd0ya,Сайн Интернэшнл ХХК
Бүтээгдэхүүн үйлчилгээний ажилтан,"2,500,000-3,000,000 ₮","Харилцагчийн зээлийн үйлчилгээтэй холбогдох бичиг баримтын бүрдүүлэлт хийх, тохирох бараа бүтээгдэхүүнийг санал болгохЗээлийн гэрээ бэлтгэх, сайжруулалт хийхӨдөр тутмын тайлан мэдээг гаргах, тайлагнах","Хэрэглээний программууд дээр ажиллах чадвартайБорлуулалтын чиглэлээр ажиллаж байсан туршлагатай бол сайнӨөрийн ажилдаа хариуцлагатай ханддаг байхХувийн зохион байгуулалт сайтай, багаар ажиллах чадвартайЦаашид урт хугацаанд ажиллах хүсэлтэй байх",https://www.zangia.mn/job/_t8g8prid8t,Сайн Интернэшнл ХХК
Борлуулалт үйлчилгээний ажилтан (Завхан салбар),"1,500,000-1,800,000 ₮","Харилцагчийн зээлийн үйлчилгээтэй холбогдох бичиг баримтын бүрдүүлэлт хийх, тохирох бараа бүтээгдэхүүнийг санал болгохЗээлийн гэрээ бэлтгэх, сайжруулалт хийхӨдөр тутмын тайлан мэдээг гаргах, тайлагнах","Хэрэглээний программууд дээр ажиллах чадвартайБорлуулалтын чиглэлээр ажиллаж байсан туршлагатай бол сайнӨөрийн ажилдаа хариуцлагатай ханддаг байхХувийн зохион байгуулалт сайтай, багаар ажиллах чадвартайЦаашид урт хугацаанд ажиллах хүсэлтэй байх",https://www.zangia.mn/job/_ivi0b5xwj7,Сайн Интернэшнл ХХК
Ахлах менежер (Өмнөговь салбар),"2,500,000-3,000,000 ₮","Харилцагчийн зээлийн үйлчилгээтэй холбогдох бичиг баримтын бүрдүүлэлт хийх, тохирох бараа бүтээгдэхүүнийг санал болгохЗээлийн гэрээ бэлтгэх, сайжруулалт хийхХариуцсан салбар нэгжийн үйл ажиллагааг хэвийн явуулахад хяналт тавин ажиллана","Банк, санхүү, эдийн засаг, нягтлан бодох бүртгэлийн чиглэлээр их дээд сургууль төгссөнЗээл, борлуулалтын талаар мэдлэгтэйЦаашид урт хугацаанд ажиллах хүсэлтэй байх",https://www.zangia.mn/job/_000o57nhwj,Сайн Интернэшнл ХХК
Салбарын ахлах менежер (Ховд салбар),"1,800,000-2,100,000 ₮","Харилцагчийн зээлийн үйлчилгээтэй холбогдох бичиг баримтын бүрдүүлэлт хийх, тохирох бараа бүтээгдэхүүнийг санал болгохЗээлийн гэрээ бэлтгэх, сайжруулалт хийхХариуцсан салбар нэгжийн үйл ажиллагааг хэвийн явуулахад хяналт тавин ажиллана","Банк, санхүү, эдийн засаг, нягтлан бодох бүртгэлийн чиглэлээр их дээд сургууль төгссөнЗээл, борлуулалтын талаар мэдлэгтэйЦаашид урт хугацаанд ажиллах хүсэлтэй байх",https://www.zangia.mn/job/_m0i1tfrqu5,Сайн Интернэшнл ХХК
Бүтээгдэхүүн үйлчилгээний ажилтан (Ховд салбар),"1,500,000-1,800,000 ₮","Харилцагчийн зээлийн үйлчилгээтэй холбогдох бичиг баримтын бүрдүүлэлт хийх, тохирох бараа бүтээгдэхүүнийг санал болгохЗээлийн гэрээ бэлтгэх, сайжруулалт хийхӨдөр тутмын тайлан мэдээг гаргах, тайлагнах","Хэрэглээний программууд дээр ажиллах чадвартайБорлуулалтын чиглэлээр ажиллаж байсан туршлагатай бол сайнӨөрийн ажилдаа хариуцлагатай ханддаг байхХувийн зохион байгуулалт сайтай, багаар ажиллах чадвартайЦаашид урт хугацаанд ажиллах хүсэлтэй байх",https://www.zangia.mn/job/_8a6v+6m_id,Сайн Интернэшнл ХХК
Нярав (Ховд салбар),"1,500,000-1,800,000 ₮","Бараа материалыг нэр төрлөөр нь төрөлжүүлэн хураан ангилах, хаяглах;Бараа материалын үлдэгдлийн болон зарцуулалтын  тайлан гаргах;Харилцагчид барааг хүлээлгэн өгөх, заавар зөвлөгөө өгөх;Бараа материалын бүрэн бүтэн болон аюулгүй байдлыг хариуцан ажиллана;","Нярав, бүртгэл тооцооны чиглэлээр ажиллаж байсан туршлагатайОффисын хэрэглээнийпрограммдээр ажиллах чадвартайЭмх цэгцтэй, нягт нямбайХариуцлага хүлээх чадвартай байх",https://www.zangia.mn/job/_fl5fc+03nk,Сайн Интернэшнл ХХК
